PC1,PC2,PC3,PC4,label
3.15124,0.30968,1.713432,-0.048137,0
3.105961,-0.204913,0.123951,0.0553,1
3.105209,-0.548242,0.862209,0.034071,1
2.908589,1.802652,1.551524,-0.251425,1
2.97693,-1.218667,-1.097329,0.126996,1
2.8202,0.876156,-1.172994,-0.102792,0
2.92574,-1.494251,-0.558218,0.215767,1
2.860532,-1.254573,-0.209058,0.108137,1
2.560108,0.858341,-2.197202,-0.102039,1
2.705211,-0.735784,-0.30273,0.119214,0
2.872996,-1.310259,0.683485,0.110466,0
2.929874,-0.822227,-0.402559,0.116506,0
2.944332,-0.654898,1.180451,-0.003526,1
2.88403,-1.042159,-0.19213,0.046503,1
2.878987,-0.867589,0.085774,0.075384,0
2.837381,-0.56565,0.128168,0.047709,1
2.6455,-0.232378,-2.733137,0.048825,1
2.73822,-1.113511,-0.363435,0.05909,1
2.449394,3.680929,1.635247,-0.521411,1
2.66614,0.293044,1.788718,-0.164986,0
2.707751,-1.311524,1.875595,-0.028234,1
2.524853,-1.338027,0.316692,0.058445,1
2.570185,-1.048096,1.183491,-0.04369,0
2.527512,-0.561758,0.050602,-0.066691,1
2.531051,-0.763001,1.28872,-0.095554,1
2.484461,-1.825624,-0.776597,0.114368,1
2.328894,-0.720207,-2.748701,0.011451,1
2.489108,-0.485285,-0.053296,0.041068,0
2.392757,0.793676,-1.843626,-0.146885,1
2.607641,-0.72346,-0.824293,0.039466,0
2.6512,-0.142784,-0.803634,0.023876,0
2.521583,1.381187,-1.319987,-0.239375,1
2.689434,-1.641795,0.299651,0.073291,1
2.59064,0.589406,1.165211,-0.220885,0
2.708708,-1.558981,0.858653,0.041754,1
2.608995,-1.606263,-0.567805,0.119996,1
2.427028,0.856056,-0.869341,-0.186996,0
2.566476,-0.633498,-0.323288,-0.055733,1
2.590994,-0.890687,0.720313,-0.081904,1
2.651362,-1.865446,-0.700608,0.062851,0
2.605754,0.296642,1.256717,-0.180629,0
2.672801,0.106802,1.514697,-0.097525,0
2.635244,-0.285529,-0.960235,-0.00982,1
